location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
KLCC,1420000.0,976.0,2,2,1,Condominium,Intermediate,Fully Furnished
KLCC,1139000.0,751.0,1,1,1,Condominium,Standard,Partly Furnished
KLCC,2930000.0,1114.0,2,2,2,Serviced Residence,Corner,Fully Furnished
Damansara Heights,1620000.0,1194.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Desa ParkCity,1300000.0,1367.0,3,3,2,Condominium,Intermediate,Partly Furnished
Desa ParkCity,1730000.0,1690.0,4,3,2,Condominium,Corner,Fully Furnished
Desa ParkCity,1500000.0,1346.0,4,2,2,Condominium,Intermediate,Fully Furnished
Desa ParkCity,1500000.0,1400.0,4,3,2,Condominium,Intermediate,Partly Furnished
Desa ParkCity,1180000.0,1507.0,3,3,2,Condominium,Standard,Partly Furnished
KLCC,1230000.0,1378.0,4,4,2,Serviced Residence,Corner,Fully Furnished
Jalan Klang Lama (Old Klang Road),350000.0,950.0,3,2,1,Serviced Residence,Standard,Partly Furnished
KLCC,1230000.0,850.0,1,1,1,Serviced Residence,Intermediate,Fully Furnished
Desa ParkCity,1250000.0,1303.0,3,2,2,Condominium,Intermediate,Partly Furnished
Desa ParkCity,1100000.0,1378.0,3,3,2,Condominium,Intermediate,Unfurnished
KLCC,1240000.0,850.0,1,1,0,Serviced Residence,Intermediate,Fully Furnished
Jalan Klang Lama (Old Klang Road),530000.0,900.0,4,2,1,Serviced Residence,Corner,Partly Furnished
Setiawangsa,590000.0,1196.0,3,2,2,Condominium,Intermediate,Partly Furnished
KLCC,1000000.0,751.0,1,1,1,Condominium,Standard,Partly Furnished
KLCC,1900000.0,915.0,3,2,1,Condominium,Corner,Partly Furnished
Setapak,380000.0,950.0,4,2,2,Condominium,Standard,Unfurnished
KLCC,1198000.0,764.0,2,1,1,Serviced Residence,Corner,Fully Furnished
KLCC,1780000.0,728.0,1,1,1,Serviced Residence,Standard,Fully Furnished
KLCC,2300000.0,1023.0,1,1,1,Serviced Residence,Standard,Partly Furnished
KLCC,800000.0,1055.0,3,3,1,Serviced Residence,Corner,Fully Furnished
Sentul,320000.0,646.0,4,2,2,Serviced Residence,Corner,Unfurnished
Mont Kiara,1850000.0,1830.0,5,4,2,Condominium,Intermediate,Partly Furnished
KLCC,2400000.0,1006.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Wangsa Maju,1613300.0,2336.0,4,5,3,Condominium,Standard,Partly Furnished
KLCC,2440000.0,1023.0,1,2,1,Serviced Residence,Corner,Fully Furnished
KL Sentral,783990.0,650.0,1,1,1,Serviced Residence,Standard,Partly Furnished
Jalan Sultan Ismail,495000.0,560.0,1,1,0,Serviced Residence,Intermediate,Fully Furnished
Chan Sow Lin,569200.0,888.0,2,2,2,Serviced Residence,Standard,Unfurnished
Cheras,439600.0,850.0,3,2,2,Condominium,Intermediate,Partly Furnished
Taman Tun Dr Ismail,1150000.0,1560.0,3,2,1,Condominium,Corner,Partly Furnished
Bukit Jalil,425000.0,1087.0,4,2,1,Condominium,Intermediate,Partly Furnished
Mont Kiara,1800000.0,2243.0,4,4,2,Condominium,Corner,Partly Furnished
Cheras,439600.0,850.0,3,2,2,Condominium,Standard,Partly Furnished
Jalan Kuching,580000.0,1590.0,3,2,1,Condominium,Corner,Partly Furnished
Mont Kiara,618000.0,650.0,1,1,1,Serviced Residence,Intermediate,Fully Furnished
Mont Kiara,1950000.0,2535.0,4,4,3,Condominium,Standard,Fully Furnished
Sungai Besi,600000.0,1025.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
KLCC,1780000.0,1232.0,3,3,2,Condominium,Standard,Fully Furnished
